# Cho et al. Cryogenics 46 (2006) 778-793, Fig. 12
# 288 K He at 3 bar, V_He/V_LOX=1.21 min^-1, T0=91 K (warms);
# 114 K He at 3.5 bar, V_He/V_LOX=1.3 min^-1, T0=99 K (cools to 86.8 K at 1500 s).
# 1 Hz linear interpolation of extracted vertices (no cubic overshoot).
time_s,T288K_P3bar_measured,T114K_P3p5bar_measured,T288K_P3bar_calculated,T114K_P3p5bar_calculated
442,91.5753,92.4447,92.0604,91.6222
443,91.5766,92.4346,92.0632,91.6136
444,91.5779,92.4245,92.0659,91.6049
445,91.5792,92.4145,92.0687,91.5963
446,91.5805,92.4044,92.0714,91.5877
447,91.5818,92.3943,92.0741,91.5791
448,91.5831,92.3843,92.0769,91.5704
449,91.5844,92.3742,92.0796,91.5618
450,91.5857,92.3641,92.0824,91.5532
451,91.5870,92.3541,92.0851,91.5446
452,91.5883,92.3440,92.0878,91.5359
453,91.5896,92.3339,92.0906,91.5273
454,91.5909,92.3239,92.0933,91.5187
455,91.5922,92.3138,92.0960,91.5100
456,91.5935,92.3037,92.0985,91.5013
457,91.5948,92.2937,92.1010,91.4926
458,91.5961,92.2836,92.1036,91.4839
459,91.5974,92.2735,92.1061,91.4752
460,91.5987,92.2635,92.1086,91.4665
461,91.6000,92.2534,92.1111,91.4578
462,91.6013,92.2434,92.1136,91.4490
463,91.6026,92.2333,92.1162,91.4403
464,91.6039,92.2232,92.1187,91.4316
465,91.6052,92.2132,92.1212,91.4229
466,91.6065,92.2031,92.1237,91.4142
467,91.6078,92.1930,92.1262,91.4055
468,91.6091,92.1830,92.1288,91.3968
469,91.6104,92.1729,92.1313,91.3881
470,91.6117,92.1628,92.1337,91.3797
471,91.6130,92.1528,92.1359,91.3724
472,91.6143,92.1427,92.1380,91.3652
473,91.6156,92.1326,92.1402,91.3579
474,91.6169,92.1226,92.1423,91.3506
475,91.6182,92.1125,92.1445,91.3434
476,91.6195,92.1024,92.1466,91.3361
477,91.6208,92.0924,92.1488,91.3289
478,91.6221,92.0823,92.1510,91.3216
479,91.6234,92.0722,92.1531,91.3144
480,91.6247,92.0622,92.1553,91.3071
481,91.6260,92.0521,92.1574,91.2998
482,91.6273,92.0420,92.1596,91.2926
483,91.6286,92.0320,92.1617,91.2853
484,91.6299,92.0219,92.1639,91.2781
485,91.6312,92.0118,92.1662,91.2703
486,91.6325,92.0018,92.1687,91.2615
487,91.6338,91.9917,92.1712,91.2527
488,91.6351,91.9816,92.1738,91.2439
489,91.6364,91.9716,92.1763,91.2351
490,91.6377,91.9615,92.1789,91.2262
491,91.6390,91.9514,92.1814,91.2174
492,91.6403,91.9414,92.1840,91.2086
493,91.6416,91.9313,92.1865,91.1998
494,91.6429,91.9214,92.1891,91.1910
495,91.6442,91.9115,92.1916,91.1821
496,91.6455,91.9016,92.1941,91.1733
497,91.6468,91.8917,92.1967,91.1645
