# Cho et al. Cryogenics 46 (2006) 778-793, Fig. 5
# LOX T vs time, T_LOX,i=91 K, T_He=288 K.
# P=1 bar measured/calculated (V_He/V_LOX=1.39 min^-1, 100 L/min);
# P=3 bar measured/calculated (V_He/V_LOX=1.21 min^-1, 87 L/min).
# Digitized from vector markers (measured) and polylines (calculated); legend frame excluded.
# 1 Hz linear interpolation of extracted vertices (no cubic overshoot).
time_s,P1bar_measured,P3bar_measured,P1bar_calculated,P3bar_calculated
296,88.6209,91.8730,89.1412,91.8900
297,88.6152,91.8749,89.1379,91.8912
298,88.6093,91.8766,89.1345,91.8923
299,88.6034,91.8784,89.1312,91.8935
300,88.5975,91.8802,89.1279,91.8946
301,88.5916,91.8820,89.1245,91.8957
302,88.5857,91.8837,89.1212,91.8968
303,88.5798,91.8855,89.1179,91.8979
304,88.5739,91.8873,89.1145,91.8990
305,88.5681,91.8891,89.1112,91.9001
306,88.5622,91.8909,89.1079,91.9012
307,88.5563,91.8926,89.1045,91.9024
308,88.5504,91.8944,89.1012,91.9035
309,88.5445,91.8962,89.0979,91.9046
310,88.5386,91.8980,89.0945,91.9057
311,88.5327,91.8998,89.0912,91.9068
312,88.5268,91.9015,89.0871,91.9081
313,88.5209,91.9033,89.0823,91.9096
314,88.5150,91.9051,89.0774,91.9111
315,88.5091,91.9069,89.0726,91.9126
316,88.5032,91.9087,89.0678,91.9141
317,88.4973,91.9104,89.0630,91.9155
318,88.4914,91.9122,89.0582,91.9170
319,88.4855,91.9140,89.0533,91.9185
320,88.4796,91.9158,89.0485,91.9200
321,88.4737,91.9175,89.0437,91.9215
322,88.4678,91.9193,89.0389,91.9230
323,88.4619,91.9211,89.0341,91.9244
324,88.4560,91.9229,89.0292,91.9259
325,88.4501,91.9247,89.0244,91.9274
326,88.4442,91.9264,89.0196,91.9289
327,88.4383,91.9282,89.0157,91.9299
328,88.4324,91.9300,89.0130,91.9303
329,88.4265,91.9318,89.0103,91.9307
330,88.4206,91.9336,89.0075,91.9311
331,88.4147,91.9353,89.0048,91.9315
332,88.4088,91.9371,89.0021,91.9318
333,88.4030,91.9389,88.9994,91.9322
334,88.3971,91.9407,88.9967,91.9326
335,88.3912,91.9425,88.9940,91.9330
336,88.3853,91.9442,88.9913,91.9334
337,88.3794,91.9460,88.9886,91.9338
338,88.3735,91.9478,88.9859,91.9342
339,88.3676,91.9496,88.9832,91.9345
340,88.3617,91.9513,88.9805,91.9349
341,88.3558,91.9531,88.9778,91.9353
342,88.3499,91.9549,88.9738,91.9367
343,88.3440,91.9567,88.9698,91.9382
344,88.3381,91.9585,88.9657,91.9397
345,88.3322,91.9602,88.9616,91.9412
346,88.3263,91.9620,88.9575,91.9426
347,88.3204,91.9638,88.9535,91.9441
348,88.3145,91.9656,88.9494,91.9456
349,88.3086,91.9674,88.9453,91.9471
350,88.3027,91.9691,88.9412,91.9486
351,88.2968,91.9709,88.9372,91.9501
352,88.2909,91.9727,88.9331,91.9515
353,88.2850,91.9745,88.9290,91.9530
354,88.2791,91.9763,88.9249,91.9545
355,88.2732,91.9780,88.9209,91.9560
356,88.2673,91.9798,88.9168,91.9575
357,88.2632,91.9819,88.9133,91.9590
358,88.2594,91.9840,88.9100,91.9604
359,88.2557,91.9862,88.9066,91.9619
360,88.2519,91.9883,88.9033,91.9634
361,88.2482,91.9905,88.9000,91.9649
362,88.2444,91.9927,88.8966,91.9664
363,88.2407,91.9948,88.8933,91.9678
364,88.2370,91.9970,88.8900,91.9693
365,88.2332,91.9991,88.8866,91.9708
366,88.2295,92.0013,88.8833,91.9723
367,88.2257,92.0034,88.8800,91.9737
368,88.2220,92.0056,88.8766,91.9752
369,88.2182,92.0077,88.8733,91.9767
370,88.2145,92.0099,88.8700,91.9782
371,88.2107,92.0120,88.8666,91.9797
372,88.2070,92.0142,88.8633,91.9809
373,88.2033,92.0163,88.8600,91.9820
374,88.1995,92.0185,88.8566,91.9831
375,88.1958,92.0206,88.8533,91.9842
376,88.1920,92.0228,88.8500,91.9853
377,88.1883,92.0249,88.8466,91.9865
378,88.1845,92.0271,88.8433,91.9876
379,88.1808,92.0292,88.8399,91.9887
380,88.1771,92.0314,88.8366,91.9898
381,88.1733,92.0335,88.8333,91.9909
382,88.1696,92.0357,88.8299,91.9920
383,88.1658,92.0379,88.8266,91.9931
384,88.1621,92.0400,88.8233,91.9942
385,88.1583,92.0422,88.8199,91.9954
386,88.1546,92.0443,88.8166,91.9965
387,88.1508,92.0465,88.8134,91.9978
388,88.1471,92.0486,88.8103,91.9994
389,88.1434,92.0508,88.8072,92.0009
390,88.1396,92.0529,88.8041,92.0025
391,88.1359,92.0551,88.8010,92.0040
392,88.1321,92.0572,88.7980,92.0056
393,88.1284,92.0594,88.7949,92.0071
394,88.1246,92.0615,88.7918,92.0086
395,88.1209,92.0637,88.7887,92.0102
396,88.1172,92.0658,88.7856,92.0117
397,88.1134,92.0680,88.7825,92.0133
398,88.1097,92.0701,88.7794,92.0148
399,88.1059,92.0723,88.7763,92.0164
400,88.1022,92.0744,88.7733,92.0179
401,88.0984,92.0766,88.7701,92.0194
402,88.0947,92.0788,88.7660,92.0205
403,88.0909,92.0809,88.7619,92.0217
404,88.0872,92.0831,88.7579,92.0228
405,88.0835,92.0852,88.7538,92.0239
406,88.0797,92.0874,88.7497,92.0250
407,88.0760,92.0895,88.7456,92.0261
408,88.0722,92.0917,88.7415,92.0272
409,88.0685,92.0938,88.7374,92.0283
410,88.0647,92.0960,88.7333,92.0295
