# Cho et al. Cryogenics 46 (2006) 778-793, Fig. 10
# LOX T vs time, P=1 bar. Experiment only.
# Series assigned from the figure's own arrows (not the swapped prose):
#   black squares  r=1.34 min^-1 -> T_He=114 K (most cooling, ~83.5 K at 600 s)
#   red circles    r=0.50 min^-1 -> T_He=140 K (~85.7 K at 600 s)
#   blue triangles r=1.05 min^-1 -> T_He=288 K (least cooling, ~87.2 K at 600 s)
# Matches Baldwin 2023 Table 2 cases 6/7/8 (dT_exp 4.0 / 4.6 / 6.8 K).
# The prose sentence that puts 288 K at r=1.34 is a typesetting swap; the arrows win.
# 1 Hz linear interpolation of extracted vertices (no cubic overshoot).
time_s,T114K_r1.34_measured,T140K_r0.5_measured,T288K_r1.05_measured
240,87.5356,88.7117,89.5031
241,87.5177,88.7057,89.4950
242,87.4997,88.6996,89.4868
243,87.4818,88.6936,89.4786
244,87.4638,88.6875,89.4705
245,87.4458,88.6814,89.4623
246,87.4279,88.6754,89.4541
247,87.4099,88.6693,89.4460
248,87.3920,88.6632,89.4378
249,87.3740,88.6572,89.4296
250,87.3560,88.6511,89.4214
251,87.3413,88.6433,89.4132
252,87.3272,88.6353,89.4049
253,87.3130,88.6272,89.3966
254,87.2989,88.6192,89.3883
255,87.2848,88.6111,89.3800
256,87.2706,88.6030,89.3717
257,87.2565,88.5950,89.3634
258,87.2423,88.5869,89.3551
259,87.2282,88.5789,89.3468
260,87.2141,88.5708,89.3385
261,87.1999,88.5627,89.3302
262,87.1858,88.5547,89.3219
263,87.1716,88.5466,89.3136
264,87.1575,88.5385,89.3053
265,87.1434,88.5305,89.2970
266,87.1292,88.5224,89.2888
267,87.1151,88.5144,89.2805
268,87.1009,88.5063,89.2722
269,87.0868,88.4982,89.2639
270,87.0727,88.4902,89.2556
271,87.0585,88.4821,89.2473
272,87.0444,88.4741,89.2390
273,87.0302,88.4660,89.2307
274,87.0161,88.4579,89.2224
275,87.0020,88.4499,89.2141
276,86.9878,88.4418,89.2058
277,86.9737,88.4338,89.1975
278,86.9595,88.4257,89.1892
279,86.9454,88.4176,89.1809
280,86.9313,88.4096,89.1726
281,86.9171,88.4015,89.1644
282,86.9030,88.3934,89.1561
283,86.8889,88.3854,89.1478
284,86.8747,88.3773,89.1395
285,86.8606,88.3693,89.1312
286,86.8464,88.3612,89.1229
287,86.8323,88.3531,89.1146
288,86.8182,88.3451,89.1063
289,86.8040,88.3370,89.0980
290,86.7899,88.3290,89.0897
291,86.7757,88.3209,89.0814
292,86.7616,88.3128,89.0731
293,86.7475,88.3048,89.0648
294,86.7333,88.2967,89.0565
295,86.7192,88.2887,89.0482
296,86.7050,88.2806,89.0399
297,86.6909,88.2725,89.0317
298,86.6768,88.2645,89.0234
299,86.6626,88.2564,89.0151
300,86.6485,88.2484,89.0068
301,86.6326,88.2384,88.9987
302,86.6166,88.2285,88.9905
303,86.6007,88.2186,88.9824
304,86.5848,88.2086,88.9743
305,86.5688,88.1987,88.9661
306,86.5529,88.1888,88.9580
307,86.5369,88.1788,88.9499
308,86.5210,88.1689,88.9418
309,86.5051,88.1589,88.9336
310,86.4891,88.1490,88.9255
311,86.4732,88.1391,88.9174
312,86.4573,88.1291,88.9093
313,86.4413,88.1192,88.9011
314,86.4254,88.1093,88.8930
315,86.4094,88.0993,88.8849
316,86.3935,88.0894,88.8767
317,86.3776,88.0794,88.8686
318,86.3616,88.0695,88.8605
319,86.3457,88.0596,88.8524
320,86.3298,88.0496,88.8442
321,86.3138,88.0397,88.8361
322,86.2979,88.0297,88.8280
323,86.2819,88.0198,88.8198
324,86.2660,88.0099,88.8117
325,86.2501,87.9999,88.8036
326,86.2341,87.9900,88.7955
327,86.2182,87.9801,88.7873
328,86.2023,87.9701,88.7792
329,86.1863,87.9602,88.7711
330,86.1704,87.9502,88.7629
331,86.1544,87.9403,88.7548
332,86.1385,87.9304,88.7467
333,86.1226,87.9204,88.7386
334,86.1066,87.9105,88.7304
335,86.0907,87.9006,88.7223
336,86.0748,87.8906,88.7142
337,86.0588,87.8807,88.7061
338,86.0429,87.8707,88.6979
339,86.0269,87.8608,88.6898
340,86.0110,87.8509,88.6817
341,85.9951,87.8409,88.6735
342,85.9791,87.8310,88.6654
343,85.9632,87.8211,88.6573
344,85.9473,87.8111,88.6492
345,85.9313,87.8012,88.6410
346,85.9154,87.7912,88.6329
347,85.8994,87.7813,88.6248
348,85.8835,87.7714,88.6166
349,85.8676,87.7614,88.6085
350,85.8516,87.7515,88.6004
351,85.8373,87.7432,88.5928
352,85.8233,87.7353,88.5853
353,85.8093,87.7273,88.5777
354,85.7952,87.7194,88.5702
355,85.7812,87.7114,88.5626
356,85.7672,87.7035,88.5551
357,85.7532,87.6955,88.5475
358,85.7392,87.6876,88.5400
359,85.7252,87.6796,88.5324
360,85.7111,87.6717,88.5249
361,85.6971,87.6637,88.5173
362,85.6831,87.6558,88.5098
363,85.6691,87.6478,88.5022
364,85.6551,87.6399,88.4947
365,85.6410,87.6319,88.4871
366,85.6270,87.6240,88.4796
367,85.6130,87.6160,88.4720
368,85.5990,87.6081,88.4645
