# Cho et al. Cryogenics 46 (2006) 778-793, Fig. 8
# LOX T vs time, P=3 bar, T_He=288 K.
# r=0.81 and 1.21 min^-1 at T0=91 K (subcooled, warming);
# r=1.34 min^-1 at T0=102 K (saturated, cooling).
# 1 Hz linear interpolation of extracted vertices (no cubic overshoot).
time_s,r0.81_measured,r1.21_measured,r1.34_measured,r0.81_calculated,r1.21_calculated,r1.34_calculated
184,91.6379,91.1530,97.7720,91.8495,91.7448,98.9962
185,91.6397,91.1556,97.7634,91.8511,91.7459,98.9814
186,91.6414,91.1582,97.7547,91.8526,91.7470,98.9665
187,91.6432,91.1608,97.7461,91.8542,91.7481,98.9516
188,91.6450,91.1634,97.7375,91.8557,91.7492,98.9368
189,91.6468,91.1660,97.7288,91.8573,91.7502,98.9219
190,91.6486,91.1686,97.7202,91.8589,91.7516,98.9075
191,91.6504,91.1712,97.7116,91.8606,91.7538,98.8945
192,91.6522,91.1738,97.7030,91.8623,91.7559,98.8815
193,91.6539,91.1764,97.6943,91.8640,91.7581,98.8685
194,91.6557,91.1790,97.6857,91.8657,91.7603,98.8556
195,91.6575,91.1816,97.6771,91.8674,91.7625,98.8426
196,91.6593,91.1842,97.6684,91.8691,91.7646,98.8296
197,91.6611,91.1868,97.6598,91.8708,91.7668,98.8166
198,91.6629,91.1894,97.6512,91.8725,91.7690,98.8036
199,91.6646,91.1920,97.6425,91.8743,91.7711,98.7906
200,91.6664,91.1946,97.6339,91.8760,91.7733,98.7776
201,91.6682,91.1972,97.6253,91.8777,91.7755,98.7646
202,91.6700,91.1998,97.6167,91.8794,91.7777,98.7516
203,91.6718,91.2024,97.6080,91.8811,91.7798,98.7386
204,91.6736,91.2050,97.5994,91.8828,91.7820,98.7256
205,91.6754,91.2076,97.5908,91.8845,91.7840,98.7125
206,91.6771,91.2102,97.5821,91.8860,91.7853,98.6986
207,91.6789,91.2128,97.5735,91.8876,91.7865,98.6846
208,91.6807,91.2154,97.5649,91.8892,91.7878,98.6707
209,91.6825,91.2180,97.5562,91.8907,91.7890,98.6568
210,91.6843,91.2206,97.5476,91.8923,91.7903,98.6428
211,91.6861,91.2232,97.5390,91.8939,91.7915,98.6289
212,91.6879,91.2258,97.5303,91.8954,91.7928,98.6150
213,91.6896,91.2284,97.5217,91.8970,91.7940,98.6010
214,91.6914,91.2310,97.5131,91.8986,91.7953,98.5871
215,91.6932,91.2336,97.5045,91.9001,91.7965,98.5732
216,91.6950,91.2362,97.4958,91.9017,91.7978,98.5592
217,91.6968,91.2388,97.4872,91.9032,91.7990,98.5453
218,91.6986,91.2414,97.4786,91.9048,91.8003,98.5314
219,91.7004,91.2440,97.4699,91.9064,91.8015,98.5174
220,91.7021,91.2466,97.4613,91.9081,91.8026,98.5040
221,91.7039,91.2492,97.4527,91.9104,91.8030,98.4921
222,91.7057,91.2518,97.4440,91.9128,91.8035,98.4802
223,91.7075,91.2544,97.4354,91.9151,91.8039,98.4683
224,91.7093,91.2570,97.4268,91.9174,91.8044,98.4564
225,91.7111,91.2596,97.4182,91.9197,91.8049,98.4444
226,91.7128,91.2622,97.4095,91.9220,91.8053,98.4325
227,91.7146,91.2648,97.4009,91.9243,91.8058,98.4206
228,91.7164,91.2674,97.3923,91.9266,91.8063,98.4087
229,91.7182,91.2700,97.3836,91.9290,91.8067,98.3968
230,91.7200,91.2726,97.3750,91.9313,91.8072,98.3849
231,91.7218,91.2752,97.3664,91.9336,91.8077,98.3729
232,91.7236,91.2778,97.3577,91.9359,91.8081,98.3610
233,91.7253,91.2804,97.3491,91.9382,91.8086,98.3491
234,91.7271,91.2830,97.3405,91.9405,91.8091,98.3372
